title,openreview_link,authors
Hierarchical Open-vocabulary Universal Image Segmentation,https://openreview.net/forum?id=bn4qZxltsH,"Xudong Wang, Shufan Li, Konstantinos Kallidromitis, Yusuke Kato, Kazuki Kozuka, Trevor Darrell"
"Live Graph Lab: Towards Open, Dynamic and Real Transaction Graphs with NFT",https://openreview.net/forum?id=zr1e15kczE,"Zhen Zhang, Bingqiao Luo, Shengliang Lu, Bingsheng He"
NeuroEvoBench:  Benchmarking Evolutionary Optimizers for Deep Learning Applications,https://openreview.net/forum?id=s6qtLyR6uJ,"Robert Lange, Yujin Tang, Yingtao Tian"
Chanakya: Learning Runtime Decisions for Adaptive Real-Time Perception,https://openreview.net/forum?id=VpCjozUOM2,"Anurag Ghosh, Vaibhav Balloli, Akshay Nambi, Aditya Singh, Tanuja Ganu"
Diffusion Probabilistic Models for Structured Node Classification,https://openreview.net/forum?id=CxUuCydMDU,"Hyosoon Jang, Seonghyun Park, Sangwoo Mo, Sungsoo Ahn"
Layer-Neighbor Sampling --- Defusing Neighborhood Explosion in GNNs,https://openreview.net/forum?id=Kd5W4JRsfV,"Muhammed Fatih Balin, Ümit Çatalyürek"
Three Iterations of (d − 1)-WL Test Distinguish Non Isometric Clouds of d-dimensional Points,https://openreview.net/forum?id=9yhYcjsdab,"Valentino Delle Rose, Alexander Kozachinskiy, Cristobal Rojas, Mircea Petrache, Pablo Barceló"
Approximation-Generalization Trade-offs under (Approximate) Group Equivariance,https://openreview.net/forum?id=DnO6LTQ77U,"Mircea Petrache, Shubhendu Trivedi"
Global Identifiability of  $\ell_1$-based Dictionary Learning via Matrix Volume Optimization,https://openreview.net/forum?id=JK2oPrP8B3,"Jingzhou Hu, Kejun Huang"
GNNEvaluator: Evaluating GNN Performance On Unseen Graphs Without Labels,https://openreview.net/forum?id=ihlT8yvQ2I,"Xin Zheng, Miao Zhang, Chunyang Chen, Soheila Molaei, Chuan Zhou, Shirui Pan"
Reference-Based POMDPs,https://openreview.net/forum?id=4Sn2vUs0zA,"Edward Kim, Yohan Karunanayake, Hanna Kurniawati"
Efficient Policy Adaptation with Contrastive Prompt Ensemble for Embodied Agents,https://openreview.net/forum?id=Ny3GcHLyzj,"wonje choi, Woo Kyung Kim, SeungHyun Kim, Honguk Woo"
Pairwise Causality Guided Transformers for Event Sequences,https://openreview.net/forum?id=5q8xovQF7r,"Xiao Shou, Debarun Bhattacharjya, Tian Gao, Dharmashankar Subramanian, Oktie Hassanzadeh, Kristin P Bennett"
Evaluating the Moral Beliefs Encoded in LLMs,https://openreview.net/forum?id=O06z2G18me,"Nino Scherrer, Claudia Shi, Amir Feder, David Blei"
